TJ번호,제목(원어),제목(한국어),발매일 / 커버일,앨범커버,원곡가수,곡유형,링크,번역가사 링크
,競宴Red×Violet,경연 Red×Violet,2021-08-25,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181917/6d43f98a-ab3fb021-c642d3e8-d03931b4.png,Roselia · Afterglow,오리지널,https://youtu.be/fAYoLTda5Uo?si=h8GruckskATuzl2z,https://namu.wiki/w/%E7%AB%B6%E5%AE%B4Red%C3%97Violet#s-3
,元祖！バンドリちゃんのテーマ,원조! 뱅드림쨩 오프닝,2025-10-03,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17190157/bea08c05-c8e867db-ba941e7f-f7654e3c.png,戸山香澄(CV:愛美) · 美竹 蘭(CV:佐倉綾音) · 丸山 彩(CV:前島亜美) · 湊 友希那(CV:相羽あいな) · 弦巻こころ(CV:伊藤美来) · 倉田ましろ(CV:進藤あまね) · レイヤ(CV:Raychell) · 高松 燈(CV:羊宮妃那) · ドロリス(CV:佐々木李子) · 仲町あられ,오리지널,https://youtu.be/pbiOs-hFxvA?si=8J4ipubvx-bdIPN2,https://namu.wiki/w/%E5%85%83%E7%A5%96%EF%BC%81%E3%83%90%E3%83%B3%E3%83%89%E3%83%AA%E3%81%A1%E3%82%83%E3%82%93%E3%81%AE%E3%83%86%E3%83%BC%E3%83%9E#s-2
,CiRCLE THANKS MUSiC♪,,2022-03-16,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182022/4f0296ee-48c43bc6-4ac4b114-b49b5a06.jpg,Poppin'Party · Afterglow · Pastel＊Palettes · Roselia · ハロー、ハッピーワールド！ · Morfonica · RAISE A SUILEN,오리지널,https://youtu.be/P6o2SIJAxWw?si=hRsgkHAcxoRapjMY,https://namu.wiki/w/CiRCLE%20THANKS%20MUSiC%E2%99%AA
