TJ번호,제목(원어),제목(한국어),발매일 / 커버일,앨범커버,원곡가수,곡유형,링크,번역가사 링크
,ETERNAL BLAZE,,2018-06-27,https://i.ytimg.com/vi/mfYOideAJ30/maxresdefault.jpg,水樹奈々,커버,https://www.youtube.com/watch?v=mfYOideAJ30,https://namu.wiki/w/ETERNAL%20BLAZE
,深愛,심애,2019-03-16,https://i.ytimg.com/vi/MOVw2hYsZcg/maxresdefault.jpg,水樹奈々,커버,https://www.youtube.com/watch?v=MOVw2hYsZcg,https://namu.wiki/w/%E6%B7%B1%E6%84%9B
,シャルル,샤를,2019-03-16,https://i.ytimg.com/vi/cn4pKTcLNwQ/maxresdefault.jpg,バルーン feat. v flower,커버,https://www.youtube.com/watch?v=cn4pKTcLNwQ,https://namu.wiki/w/%EC%83%A4%EB%A5%BC%28VOCALOID%20%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90%20%EA%B3%A1%29
,残酷な天使のテーゼ,잔혹한 천사의 테제,2019-12-18,https://i.ytimg.com/vi/wiuhDFE6h0Y/maxresdefault.jpg,高橋洋子,커버,https://www.youtube.com/watch?v=wiuhDFE6h0Y,https://namu.wiki/w/%E6%AE%8B%E9%85%B7%E3%81%AA%E5%A4%A9%E4%BD%BF%E3%81%AE%E3%83%86%E3%83%BC%E3%82%BC/%EA%B0%80%EC%82%AC
,This game,,2019-12-18,https://i.ytimg.com/vi/6zCxyy2HERM/maxresdefault.jpg,鈴木このみ,커버,https://www.youtube.com/watch?v=6zCxyy2HERM,https://namu.wiki/w/This%20game
,海色,미이로,2020-05-27,https://i.ytimg.com/vi/ohmlUNGuGP0/maxresdefault.jpg,AKINO from bless4,커버,https://www.youtube.com/watch?v=ohmlUNGuGP0,https://namu.wiki/w/%E6%B5%B7%E8%89%B2
,六兆年と一夜物語,육조 년과 하룻밤 이야기,2020-05-27,https://i.ytimg.com/vi/xnlJkmRhi3Q/maxresdefault.jpg,kemu feat. IA,커버,https://www.youtube.com/watch?v=xnlJkmRhi3Q,https://namu.wiki/w/%EC%9C%A1%EC%A1%B0%20%EB%85%84%EA%B3%BC%20%ED%95%98%EB%A3%BB%EB%B0%A4%20%EC%9D%B4%EC%95%BC%EA%B8%B0
,右肩の蝶,오른 어깨 위의 나비,2020-12-16,https://i.ytimg.com/vi/XfrqZWj8jD0/maxresdefault.jpg,のりぴー feat. 鏡音レン,커버,https://www.youtube.com/watch?v=XfrqZWj8jD0,https://namu.wiki/w/%E5%8F%B3%E8%82%A9%E3%81%AE%E8%9D%B6
,Paradisus‐Paradoxum,,2021-02-24,https://i.ytimg.com/vi/A12CMqrBFSw/maxresdefault.jpg,MYTH & ROID,커버,https://www.youtube.com/watch?v=A12CMqrBFSw,https://namu.wiki/w/Paradisus-Paradoxum
,KING,,2021-11-10,https://i.ytimg.com/vi/mR86Quw762c/maxresdefault.jpg,Kanaria feat. GUMI,커버,https://www.youtube.com/watch?v=mR86Quw762c,https://namu.wiki/w/KING%28VOCALOID%20%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90%20%EA%B3%A1%29
,Shangri-La,,2021-11-10,https://i.ytimg.com/vi/vpj8rTjY_dw/maxresdefault.jpg,angela,커버,https://www.youtube.com/watch?v=vpj8rTjY_dw,https://namu.wiki/w/Shangri-La
,My Dearest,,2021-11-10,https://i.ytimg.com/vi/PeeD7-Mek8k/maxresdefault.jpg,supercell,커버,https://www.youtube.com/watch?v=PeeD7-Mek8k,https://namu.wiki/w/My%20Dearest
,廻廻奇譚,회회기담,2022-05-18,https://i.ytimg.com/vi/Upm95P9Wye0/maxresdefault.jpg,Eve,커버,https://www.youtube.com/watch?v=Upm95P9Wye0,https://namu.wiki/w/%E5%BB%BB%E5%BB%BB%E5%A5%87%E8%AD%9A
,鳥の詩,새의 시,2022-05-18,https://i.ytimg.com/vi/Y5CTSrakFlY/maxresdefault.jpg,Lia,커버,https://www.youtube.com/watch?v=Y5CTSrakFlY,https://namu.wiki/w/%E9%B3%A5%E3%81%AE%E8%A9%A9
,Synchrogazer,,2022-05-18,https://i.ytimg.com/vi/3QeYCxU7ftQ/maxresdefault.jpg,水樹奈々,커버,https://www.youtube.com/watch?v=3QeYCxU7ftQ,https://namu.wiki/w/Synchrogazer
,名前のない怪物,이름 없는 괴물,2022-05-18,https://i.ytimg.com/vi/7jOjYce_f4c/maxresdefault.jpg,EGOIST,커버,https://www.youtube.com/watch?v=7jOjYce_f4c,https://namu.wiki/w/%E5%90%8D%E5%89%8D%E3%81%AE%E3%81%AA%E3%81%84%E6%80%AA%E7%89%A9
,スカイクラッドの観測者,스카이 클래드의 관측자,2022-09-29,https://i.ytimg.com/vi/jFaVomJ6IRk/maxresdefault.jpg,いとうかなこ,커버,https://www.youtube.com/watch?v=jFaVomJ6IRk,https://namu.wiki/w/%E3%82%B9%E3%82%AB%E3%82%A4%E3%82%AF%E3%83%A9%E3%83%83%E3%83%89%E3%81%AE%E8%A6%B3%E6%B8%AC%E8%80%85
,Realize,,2022-12-14,https://i.ytimg.com/vi/bfWK5imos6A/maxresdefault.jpg,鈴木このみ,커버,https://www.youtube.com/watch?v=bfWK5imos6A,https://namu.wiki/w/Realize%28%EC%8A%A4%EC%A6%88%ED%82%A4%20%EC%BD%94%EB%85%B8%EB%AF%B8%29
,新時代,신시대,2023-09-06,https://i.ytimg.com/vi/TLnpE1QLVBs/maxresdefault.jpg,Ado,커버,https://www.youtube.com/watch?v=TLnpE1QLVBs,https://namu.wiki/w/%E6%96%B0%E6%99%82%E4%BB%A3
,Red fraction,,2023-09-06,https://i.ytimg.com/vi/SF1JjeTPbU4/maxresdefault.jpg,MELL,커버,https://www.youtube.com/watch?v=SF1JjeTPbU4,https://namu.wiki/w/Red%20fraction
,slash,,2024-10-30,https://i.ytimg.com/vi/gtVeDq1y0R4/maxresdefault.jpg,yama,커버,https://www.youtube.com/watch?v=gtVeDq1y0R4,https://utaten.com/lyric/qa30413027/
,乙女解剖,소녀 해부,2024-10-30,https://i.ytimg.com/vi/gqg6qtllWmA/maxresdefault.jpg,DECO*27 feat. 初音ミク,커버,https://www.youtube.com/watch?v=gqg6qtllWmA,https://namu.wiki/w/%E4%B9%99%E5%A5%B3%E8%A7%A3%E5%89%96
,ファタール,파탈,2025-10-15,https://i.ytimg.com/vi/B8Twg8j4a1A/maxresdefault.jpg,GEMN,커버,https://www.youtube.com/watch?v=B8Twg8j4a1A,https://namu.wiki/w/%E3%83%95%E3%82%A1%E3%82%BF%E3%83%BC%E3%83%AB
,ヒバナ -Reloaded-,히바나 -Reloaded-,2025-10-15,https://i.ytimg.com/vi/_8_h1aTcH-c/maxresdefault.jpg,DECO*27 feat. 初音ミク,커버,https://www.youtube.com/watch?v=_8_h1aTcH-c,https://namu.wiki/w/%EB%B6%88%EA%BD%83%28VOCALOID%20%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90%20%EA%B3%A1%29
,Reweave,,2025-10-15,https://i.ytimg.com/vi/NOIUNyfVnbI/maxresdefault.jpg,鈴木このみ,커버,https://www.youtube.com/watch?v=NOIUNyfVnbI,https://utaten.com/lyric/hw24100419/
,HONEY,,2026-03-18,https://i.ytimg.com/vi/frI2-4pnOrw/maxresdefault.jpg,L'Arc〜en〜Ciel,커버,https://www.youtube.com/watch?v=frI2-4pnOrw,https://namu.wiki/w/HONEY%28L%27Arc~en~Ciel%29
