TJ번호,제목(원어),제목(한국어),발매일 / 커버일,앨범커버,원곡가수,곡유형,링크,번역가사 링크
,起死開戦,기사개전,2026-03-02,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/27141819/73793ae7-0ec0b9e8-a154d270-e7b49c47.jpg,millsage,오리지널,https://youtu.be/bzPxdHmMW3s?si=SWl7BKD-xW5konh9,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=6013691
,カーネーションの咲く日に,카네이션이 피는 날에,2026-07-19,https://bang-dream.com/wordpress/wp-content/uploads/2026/09/17151158/10391e1d-f6498184-205fcd6b-614baf6f-630x630.png,millsage,오리지널,https://www.youtube.com/watch?v=-CFoE43oPOk,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=6339138
,unravel,,2026-08-20,https://i.ytimg.com/vi/uZh2qHvJFTI/maxresdefault.jpg,TK from 凛として時雨,커버,https://www.youtube.com/watch?v=uZh2qHvJFTI,https://namu.wiki/w/Unravel
,青のすみか,푸른 거처,2026-08-27,https://i.ytimg.com/vi/XYpcz_mI4ck/maxresdefault.jpg,キタニタツヤ,커버,https://www.youtube.com/watch?v=XYpcz_mI4ck,https://namu.wiki/w/%EC%B2%AD%EC%9D%98%20%EA%B1%B0%EC%B2%98
