TJ번호,제목(원어),제목(한국어),발매일 / 커버일,앨범커버,원곡가수,곡유형,링크,번역가사 링크
,歩拾道,"스피드 (보습도, Speed)",2024-11-09,https://static.wikia.nocookie.net/bandori/images/b/b9/Speed_Game_Cover.png/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=EEeYU4-dhZk&ab_channel=MyGO%21%21%21%21%21-Topic,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5077469
,夜隠染,"요카제 (야은염, 밤바람)",2024-12-18,https://static.wikia.nocookie.net/bandori/images/e/e5/Mygo_2nd_Album_Regular_Edition_Cover.jpg/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=7kPyHJ2SA9g&ab_channel=MyGO%21%21%21%21%21,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5082269
,聿日箋秋,"율일전추 (이치지츠센슈-, 일일천추)",2025-03-27,https://static.wikia.nocookie.net/bandori/images/9/9a/MyGO%21%21%21%21%21_6th_Single_Blu-ray_Edition_Cover.jpg/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=MaogbGr8Qhg&ab_channel=MyGO%21%21%21%21%21,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5291767
,掌心正銘,"장심정명 (쇼-신소-메-, 정진정명)",2025-04-23,https://static.wikia.nocookie.net/bandori/images/9/9c/MyGO%21%21%21%21%21_6th_Single_Regular_Edition_Cover.jpg/,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=Aww91itH5cQ,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5339531
,残痕字,"페이지 (잔흔자, page)",2025-08-06,https://static.wikia.nocookie.net/bandori/images/0/0a/MyGO%21%21%21%21%21_7th_Single_Regular_Edition_Cover.jpg/revision/latest?cb=20250701112725,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=lfDO7bvUtn8&ab_channel=MyGO%21%21%21%21%21-Topic,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5563390
,往欄印,"오우라이 (왕란인, 왕래)",2025-08-06,https://static.wikia.nocookie.net/bandori/images/0/0a/MyGO%21%21%21%21%21_7th_Single_Regular_Edition_Cover.jpg/revision/latest?cb=20250701112725,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=JbSA9GjoUmU&ab_channel=MyGO%21%21%21%21%21,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5563025
,エガクミライ,그려갈 미래 (에가쿠 미라이),2025-09-19,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/9a8c1b18-5372-4d47-8416-048524bb1a2c.jpg,Aqua Timez,타이업,https://www.youtube.com/watch?v=55QclsX-8dg,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=5658542
,静降想,"사일렌트 (정강상, silent)",2025-12-03,https://s3-ap-northeast-1.amazonaws.com/bang-dream-portal/cc055c48-271f-4254-b2c5-c8baab9d3efc.jpg,MyGO!!!!!,오리지널,https://www.youtube.com/watch?v=MPd3OtZ9KRg,https://gall.dcinside.com//mgallery/board/view/?id=bang_dream&no=5776193
27267,二息歩行 (Reloaded),이식보행,2022-05-02,https://i.ytimg.com/vi/q7lbzmTw8RM/hqdefault.jpg?sqp=-oaymwEnCPYBEIoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCbW2AkEqzSZo5AY83yE1A8SC8XLg,하츠네 미쿠,커버,https://www.youtube.com/watch?v=q7lbzmTw8RM,https://namu.wiki/w/%EC%9D%B4%EC%8B%9D%EB%B3%B4%ED%96%89#s-4
,社会距離,사회거리,2022-05-11,https://i.ytimg.com/vi/Y5qJcXd0two/hqdefault.jpg?sqp=-oaymwEnCPYBEIoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBhlI90JW-FQGQWYyestyNXP-d8fw,카후,커버,https://www.youtube.com/watch?v=Y5qJcXd0two,http://vocaro.wikidot.com/social-distance
,君の神様になりたい。,너의 신이 되고 싶어,2022-05-28,https://i.ytimg.com/vi/HwLbvP99ypk/hqdefault.jpg?sqp=-oaymwEnCPYBEIoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCEjf3fV7tov7dbPY_AzgQ1B5MYpg,하츠네 미쿠,커버,https://www.youtube.com/watch?v=HwLbvP99ypk,https://namu.wiki/w/%EB%84%88%EC%9D%98%20%EC%8B%A0%EC%9D%B4%20%EB%90%98%EA%B3%A0%20%EC%8B%B6%EC%96%B4.?from=%EB%84%88%EC%9D%98%20%EC%8B%A0%EB%8B%98%EC%9D%B4%20%EB%90%98%EA%B3%A0%20%EC%8B%B6%EC%96%B4.
,君の神様になりたい。,너의 신이 되고 싶어,2024-07-09,https://static.wikia.nocookie.net/bandori/images/b/b8/BanG_Dream%21_Cover_Collection_Extra_Volume_Regular_Edition_Cover.jpg/,하츠네 미쿠,커버,https://www.youtube.com/watch?v=KqjQkUN8mwY,
,Henceforth,헨스포스,2022-06-04,https://i.ytimg.com/vi/Lr-bMZ2hNH0/hqdefault.jpg?sqp=-oaymwEnCPYBEIoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCqYhBKDO8CDgodzRaWPwfrblNbGg,IA -ARIA ON THE PLANETES-,커버,https://www.youtube.com/watch?v=Lr-bMZ2hNH0,https://namu.wiki/w/Henceforth#s-5
28951,ティアドロップス ,티어 드롭스,2022-06-19,https://i.ytimg.com/vi/3KVLbAMPwzs/hqdefault.jpg?sqp=-oaymwEnCPYBEIoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLD8zEJLmbAsOAIa4p32UdS9G_XILw,Poppin'Party,커버,https://www.youtube.com/watch?v=3KVLbAMPwzs,https://namu.wiki/w/%E3%83%86%E3%82%A3%E3%82%A2%E3%83%89%E3%83%AD%E3%83%83%E3%83%97%E3%82%B9
,swim,스윔,2022-06-26,https://bestdori.com/assets/jp/musicjacket/musicjacket550_rip/assets-star-forassetbundle-startapp-musicjacket-musicjacket550-546_swim-jacket.png,04 Limited Sazabys,커버,https://www.youtube.com/watch?v=AEZ7suhPML0,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=4744410
,猛独が襲う,거센 외로움이 덮쳐 와,2022-07-16,https://bestdori.com/assets/jp/musicjacket/musicjacket550_rip/assets-star-forassetbundle-startapp-musicjacket-musicjacket550-545_modoku_ga_osou-jacket.png,하츠네 미쿠,커버,https://www.youtube.com/watch?v=IrOg6rQx9wI,https://namu.wiki/w/%EA%B1%B0%EC%84%BC%20%EC%99%B8%EB%A1%9C%EC%9B%80%EC%9D%B4%20%EB%8D%AE%EC%B3%90%EC%99%80?from=%E7%8C%9B%E7%8B%AC%E3%81%8C%E8%A5%B2%E3%81%86#s-4
,遠心力,원심력,2022-08-14,https://i.ytimg.com/vi/9RNcp7rLecQ/hqdefault.jpg?sqp=-oaymwEnCPYBEIoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB3Boj3G0dChErZZzya_VA1LgsI8Q,星界 - ナナホシ管弦楽団,커버,https://www.youtube.com/watch?v=9RNcp7rLecQ,https://namu.wiki/w/%EC%9B%90%EC%8B%AC%EB%A0%A5(CeVIO%20%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90%20%EA%B3%A1)#s-3
68735,ないばいたりてぃ,없어 바이탈리티,2022-08-28,https://i.ytimg.com/vi/tAZGnS1FKRE/hqdefault.jpg?sqp=-oaymwEnCPYBEIoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDNB3wHfiMORgRE1HHV4OPlD5Hfew,P丸様,커버,https://www.youtube.com/watch?v=tAZGnS1FKRE,http://vocaro.wikidot.com/no-vitality
,キリトリセン,키리토리센 (절취선),2022-10-02,https://i.ytimg.com/vi/3fBftYWm8gY/hqdefault.jpg?sqp=-oaymwEnCPYBEIoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDLcHdYm9ySB2jglILPU8-dpFgkPg,GUMI,커버,https://www.youtube.com/watch?v=3fBftYWm8gY,https://namu.wiki/w/%EC%A0%88%EC%B7%A8%EC%84%A0(VOCALOID%20%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90%20%EA%B3%A1)?from=%E3%82%AD%E3%83%AA%E3%83%88%E3%83%AA%E3%82%BB%E3%83%B3#s-3
68544,もしも命が描けたら,만약 생명을 그릴 수 있다면,2022-12-10,https://i.ytimg.com/vi/uVGIGeTPQVM/hqdefault.jpg?sqp=-oaymwEnCPYBEIoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAlvFjTZo7A_bv573ArecTTrKmKvw,YOASOBI,커버,https://www.youtube.com/watch?v=uVGIGeTPQVM,https://namu.wiki/w/%E3%82%82%E3%81%97%E3%82%82%E5%91%BD%E3%81%8C%E6%8F%8F%E3%81%91%E3%81%9F%E3%82%89#s-4
,TEENAGE RIOT,,2023-02-25,https://i.ytimg.com/vi/Hm90Otiz8u8/hqdefault.jpg?sqp=-oaymwEnCPYBEIoBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAu_mNOEPdzsGQzJZWyF7-VFMezOQ,요네즈 켄시,커버,https://www.youtube.com/watch?v=Hm90Otiz8u8,https://namu.wiki/w/TEENAGE%20RIOT#s-4
