TJ번호,제목(원어),제목(한국어),발매일 / 커버일,앨범커버,원곡가수,곡유형,링크,번역가사 링크
,極彩色,,2023-04-26,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182434/b081fe0d-8c41fd4c-019ad4cd-296bba59-768x768.jpg,Afterglow,오리지널,https://www.youtube.com/watch?v=YvpL2A3FZk4,https://namu.wiki/w/%E6%A5%B5%E5%BD%A9%E8%89%B2
,Punchline Halloween!!!,,2023-08-03,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17183344/9764e6ca-27f99649-da00225d-377b63cc-768x768.jpg,Afterglow,오리지널,https://www.youtube.com/watch?v=9o7t80l3ycg,https://namu.wiki/w/Punchline%20Halloween%21%21%21
,燦々,산산(찬란),2024-04-03,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17183733/135a4773-7021cb3a-06e57e27-3312ccc4-768x768.jpg,Afterglow,오리지널,https://www.youtube.com/watch?v=5TMksY3TQPE,https://namu.wiki/w/%E7%87%A6%E3%80%85
,That's why I'm here.,,2024-04-03,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17183733/135a4773-7021cb3a-06e57e27-3312ccc4-768x768.jpg,Afterglow,오리지널,https://www.youtube.com/watch?v=Q0l5OZb3Fr8,https://namu.wiki/w/That%27s%20why%20I%27m%20here.
,IGNITE GLOW,,2024-04-03,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17183733/135a4773-7021cb3a-06e57e27-3312ccc4-768x768.jpg,Afterglow,오리지널,https://www.youtube.com/watch?v=-tH-OfZDbSY,https://namu.wiki/w/IGNITE%20GLOW
,ペトリコール・オベーション,,2024-04-03,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17183733/135a4773-7021cb3a-06e57e27-3312ccc4-768x768.jpg,Afterglow,오리지널,https://www.youtube.com/watch?v=XUxFCXHCDkU,https://namu.wiki/w/%E3%83%9A%E3%83%88%E3%83%AA%E3%82%B3%E3%83%BC%E3%83%AB%E3%83%BB%E3%82%AA%E3%83%99%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3
,Made My Day,,2024-04-03,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17183733/135a4773-7021cb3a-06e57e27-3312ccc4-768x768.jpg,Afterglow,오리지널,https://www.youtube.com/watch?v=teBH_H3Qva8,https://namu.wiki/w/Made%20My%20Day
,Glowing After,,2025-07-02,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17185020/f7717df4-0cdcc862-d82bd93d-fa3093f5-768x768.jpg,Afterglow,오리지널,https://www.youtube.com/watch?v=N-kz_Kbq6rU,https://namu.wiki/w/Glowing%20After
,A Sunset So Bright,,2025-07-02,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17185020/f7717df4-0cdcc862-d82bd93d-fa3093f5-768x768.jpg,Afterglow,오리지널,https://www.youtube.com/watch?v=gKHkLAXGVbE,https://namu.wiki/w/A%20Sunset%20So%20Bright
,Start as Usual,,2025-07-02,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17185020/f7717df4-0cdcc862-d82bd93d-fa3093f5-768x768.jpg,Afterglow,오리지널,https://www.youtube.com/watch?v=aEpLaeLuf6w,https://namu.wiki/w/Start%20as%20Usual
,“Say cheese!!!!!”,,2025-07-02,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17185020/f7717df4-0cdcc862-d82bd93d-fa3093f5-768x768.jpg,Afterglow,오리지널,https://www.youtube.com/watch?v=RHGk1uT_yMc,https://namu.wiki/w/%E2%80%9CSay%20cheese%21%21%21%21%21%E2%80%9D
,花笑みのデュオ,,2025-07-02,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17185020/f7717df4-0cdcc862-d82bd93d-fa3093f5-768x768.jpg,Afterglow,오리지널,https://www.youtube.com/watch?v=m6jnZ8qDw-E,https://namu.wiki/w/%E8%8A%B1%E7%AC%91%E3%81%BF%E3%81%AE%E3%83%87%E3%83%A5%E3%82%AA
,Part of the Life,,2025-09-21,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17190136/0cac946d-97973cf8-4f8dd53a-e2099518-768x768.png,Afterglow,오리지널,https://www.youtube.com/watch?v=O3ZcEs4b-uw,https://namu.wiki/w/Part%20of%20the%20Life
