TJ번호,제목(원어),제목(한국어),발매일 / 커버일,앨범커버,원곡가수,곡유형,링크,번역가사 링크
,ホーミー・タイッ！！,Homie's Tie!!,2026-03-02,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/27142028/1552a9f1-d10fe7e9-4203746d-6663fa6a.jpg,一家Dumb Rock!,오리지널,https://youtu.be/BSP-xypGSak?si=4CMWyMH-k4OB-Cz6,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=6013811
,Keep on Riddim,,2026-07-20,https://bang-dream.com/wordpress/wp-content/uploads/2026/08/17151832/19ed810f-e62a34bd-fd8fee29-53d4fe33-630x630.png,一家Dumb Rock!,오리지널,https://www.youtube.com/watch?v=h0QJo5XjosA,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=6342155
,イケナイ太陽,나쁜 태양,2026-08-28,https://i.ytimg.com/vi/Gwwcu8sSIkM/maxresdefault.jpg,ORANGE RANGE,커버,https://www.youtube.com/watch?v=Gwwcu8sSIkM,https://utaten.com/lyric/jb10707524/
,ジャイアント・キラー・チューン,자이언트 킬러 튠,2026-09-04,https://bang-dream.com/wordpress/wp-content/uploads/2026/09/02115031/e41c31d0-2462ee50-15c1a892-311c289e-630x630.jpg,一家Dumb Rock!,오리지널,https://www.youtube.com/watch?v=KiDSrEjBFLI,https://gall.dcinside.com/mgallery/board/view/?id=bang_dream&no=6480837
